AAIC,  3.7000,  Real Estate,  REIT—Mortgage
MHLD,  2.5000,  Financial Services,  Insurance—Reinsurance
MIND,  2.2700,  Technology,  Scientific & Technical Instruments
MITT,  3.6000,  Real Estate,  REIT—Mortgage
MLND,  2.3500,  Healthcare,  Biotechnology
MMLP,  1.9100,  Energy,  Oil & Gas Midstream
MRKR,  2.2700,  Healthcare,  Biotechnology
MTL,  1.9000,  Basic Materials,  Steel
MUFG,  4.8400,  Financial Services,  Banks—Diversified
MUX,  1.1600,  Basic Materials,  Other Precious Metals & Mining
MVO,  3.9499,  Energy,  Oil & Gas E&P
NAT,  3.2100,  Industrials,  Marine Shipping
NBEV,  3.6900,  Consumer Defensive,  Beverages—Non-Alcoholic
NBRV,  2.9900,  Healthcare,  Biotechnology
NCMI,  4.3500,  Communication Services,  Advertising Agencies
NEOS,  0.9345,  Healthcare,  Drug Manufacturers—Specialty & Generic
NEPT,  2.3400,  Healthcare,  Drug Manufacturers—Specialty & Generic
NERV,  3.4000,  Healthcare,  Biotechnology
NEX,  3.8500,  Energy,  Oil & Gas Equipment & Services
NGL,  2.7200,  Energy,  Oil & Gas Refining & Marketing
NH,  4.6300,  Healthcare,  Health Information Services
NINE,  2.9200,  Energy,  Oil & Gas Equipment & Services
NL,  4.8200,  Industrials,  Security & Protection Services
NM,  4.8000,  Industrials,  Marine Shipping
NMTR,  1.8100,  Healthcare,  Biotechnology
NNA,  3.6600,  Energy,  Oil & Gas Midstream
NOK,  4.3300,  Technology,  Communication Equipment
NR,  2.8000,  Energy,  Oil & Gas Equipment & Services
NRT,  4.1000,  Energy,  Oil & Gas Equipment & Services
NTWK,  4.5000,  Technology,  Software—Application
NWG,  4.5700,  Financial Services,  Banks—Diversified
NXTD,  1.6300,  Industrials,  Security & Protection Services
NYMT,  4.0300,  Real Estate,  REIT—Mortgage
NYMX,  3.0300,  Healthcare,  Biotechnology
OBSV,  3.9000,  Healthcare,  Biotechnology
OGI,  2.5400,  Healthcare,  Drug Manufacturers—Specialty & Generic
OPTT,  4.9200,  Industrials,  Electrical Equipment & Parts
OSG,  2.1600,  Energy,  Oil & Gas Midstream
OVID,  3.2470,  Healthcare,  Biotechnology
OXSQ,  3.9200,  Financial Services,  Asset Management
PBT,  3.8100,  Energy,  Oil & Gas E&P
PFMT,  1.1900,  Industrials,  Specialty Business Services
PHAS,  4.3500,  Healthcare,  Biotechnology
PHX,  3.1400,  Energy,  Oil & Gas E&P
PIRS,  2.8800,  Healthcare,  Biotechnology
PTE,  1.2300,  Healthcare,  Biotechnology
PTMN,  2.0100,  , 
PVL,  1.1800,  Energy,  Oil & Gas E&P
PXLW,  3.4900,  Technology,  Semiconductors
QD,  2.7200,  Financial Services,  Credit Services
QEP,  3.3000,  Energy,  Oil & Gas E&P
QLGN,  4.1400,  Healthcare,  Biotechnology
QTT,  3.8100,  Communication Services,  Internet Content & Information
QUIK,  4.2700,  Technology,  Semiconductors
RAIL,  4.2300,  Industrials,  Railroads
RAVE,  1.2500,  Consumer Cyclical,  Restaurants
RCMT,  2.9900,  Industrials,  Engineering & Construction
REED,  1.0800,  Consumer Defensive,  Beverages—Non-Alcoholic
REPH,  3.7300,  , 
RGLS,  1.6000,  Healthcare,  Biotechnology
RIG,  3.5400,  Energy,  Oil & Gas Drilling
RIGL,  4.8000,  Healthcare,  Biotechnology
RKDA,  3.2500,  Basic Materials,  Agricultural Inputs
RLH,  3.4200,  Consumer Cyclical,  Lodging
RMTI,  1.4400,  Healthcare,  Drug Manufacturers—Specialty & Generic
RNWK,  3.0250,  Communication Services,  Electronic Gaming & Multimedia
RRD,  2.4500,  Industrials,  Specialty Business Services
RYB,  3.6399,  Consumer Defensive,  Education & Training Services
SAN,  3.3500,  Financial Services,  Banks—Diversified
SANW,  3.6500,  Consumer Defensive,  Farm Products
SB,  2.1800,  Industrials,  Marine Shipping
SBBP,  3.1000,  Healthcare,  Biotechnology
SCOR,  4.2900,  Communication Services,  Advertising Agencies
SD,  4.8800,  Energy,  Oil & Gas E&P
SEAC,  1.3400,  Technology,  Software—Application
SECO,  2.8400,  Consumer Cyclical,  Internet Retail
SESN,  2.4100,  Healthcare,  Biotechnology
SIFY,  2.9800,  Communication Services,  Telecom Services
SJT,  3.8000,  Energy,  Oil & Gas E&P
SLNO,  2.7100,  Healthcare,  Diagnostics & Research
SMHI,  3.4300,  Industrials,  Marine Shipping
SNCR,  4.83,  Technology,  Software—Application
SND,  2.0700,  Energy,  Oil & Gas Equipment & Services
SNDL,  1.1500,  Healthcare,  Drug Manufacturers—Specialty & Generic
SNSS,  3.0700,  Healthcare,  Biotechnology
SOS,  3.9800,  Technology,  Software—Infrastructure
SPPI,  3.9700,  Healthcare,  Biotechnology
SPRT,  2.4900,  Technology,  Software—Application
SRAX,  4.77,  Communication Services,  Advertising Agencies
SREV,  1.6900,  Technology,  Software—Application
SRGA,  2.9073,  Healthcare,  Medical Devices
STCN,  1.9300,  Industrials,  Conglomerates
STON,  3.1300,  Consumer Cyclical,  Personal Services
SUPV,  1.8600,  Financial Services,  Banks—Regional
SVRA,  2.0000,  Healthcare,  Biotechnology
SWN,  4.1400,  Energy,  Oil & Gas E&P
SYBX,  4.2400,  Healthcare,  Biotechnology
SYNC,  2.0900,  Technology,  Software—Infrastructure
TEF,  4.6200,  Communication Services,  Telecom Services
TELL,  3.3900,  Energy,  Oil & Gas E&P
TK,  2.7300,  Energy,  Oil & Gas Midstream
TLSA,  4.0800,  Healthcare,  Biotechnology
TNAV,  4.7800,  Technology,  Software—Application
TOUR,  2.8000,  Consumer Cyclical,  Travel Services
TRVG,  2.6600,  Communication Services,  Internet Content & Information
TRVN,  2.6600,  Healthcare,  Biotechnology
TTI,  2.2000,  Energy,  Oil & Gas Equipment & Services
TTNP,  3.7500,  Healthcare,  Biotechnology
TTOO,  3.2500,  Healthcare,  Diagnostics & Research
TUSK,  4.5100,  Energy,  Oil & Gas Equipment & Services
TXMD,  2.2370,  Healthcare,  Drug Manufacturers—Specialty & Generic
TYME,  2.4700,  Healthcare,  Biotechnology
Ticker,  Price,  Sector,  Industry
Ticker,  Price,  Sector,  Industry
UEPS,  4.6835,  Technology,  Software—Infrastructure
UGP,  4.4000,  Energy,  Oil & Gas Refining & Marketing
UTSI,  2.0600,  Technology,  Communication Equipment
UXIN,  1.4700,  Communication Services,  Internet Content & Information
VBIV,  3.8951,  Healthcare,  Biotechnology
VBLT,  2.5000,  Healthcare,  Biotechnology
VCNX,  3.1600,  Healthcare,  Biotechnology
VEON,  1.6900,  Communication Services,  Telecom Services
VNTR,  4.1100,  Basic Materials,  Specialty Chemicals
VOC,  2.7100,  Energy,  Oil & Gas E&P
VSTM,  2.3800,  Healthcare,  Biotechnology
VTNR,  2.0750,  Energy,  Oil & Gas Refining & Marketing
WATT,  3.9800,  Technology,  Scientific & Technical Instruments
WMC,  3.0800,  Real Estate,  REIT—Mortgage
WTI,  2.7200,  Energy,  Oil & Gas E&P
WTRH,  4.0300,  Technology,  Software—Application
XAN,  3.9400,  Real Estate,  REIT—Mortgage
XIN,  2.3800,  Real Estate,  Real Estate—Development
XSPA,  2.1983,  Consumer Cyclical,  Personal Services
YPF,  4.2900,  Energy,  Oil & Gas Integrated
YRD,  4.1200,  Financial Services,  Credit Services
ZAGG,  4.2600,  Consumer Cyclical,  Specialty Retail
